date,season,year,month,day,workingday,weather,casual,registered,total
2011-01-01,Spring,2011,Jan,Sat,Weekend/Holiday,Cloudy,331,654,985
2011-01-02,Spring,2011,Jan,Sun,Weekend/Holiday,Cloudy,131,670,801
2011-01-03,Spring,2011,Jan,Mon,Working Day,Clear,120,1229,1349
2011-01-04,Spring,2011,Jan,Tue,Working Day,Clear,108,1454,1562
2011-01-05,Spring,2011,Jan,Wed,Working Day,Clear,82,1518,1600
2011-01-06,Spring,2011,Jan,Thu,Working Day,Clear,88,1518,1606
2011-01-07,Spring,2011,Jan,Fri,Working Day,Cloudy,148,1362,1510
2011-01-08,Spring,2011,Jan,Sat,Weekend/Holiday,Cloudy,68,891,959
2011-01-09,Spring,2011,Jan,Sun,Weekend/Holiday,Clear,54,768,822
2011-01-10,Spring,2011,Jan,Mon,Working Day,Clear,41,1280,1321
2011-01-11,Spring,2011,Jan,Tue,Working Day,Cloudy,43,1220,1263
2011-01-12,Spring,2011,Jan,Wed,Working Day,Clear,25,1137,1162
2011-01-13,Spring,2011,Jan,Thu,Working Day,Clear,38,1368,1406
2011-01-14,Spring,2011,Jan,Fri,Working Day,Clear,54,1367,1421
2011-01-15,Spring,2011,Jan,Sat,Weekend/Holiday,Cloudy,222,1026,1248
2011-01-16,Spring,2011,Jan,Sun,Weekend/Holiday,Clear,251,953,1204
2011-01-17,Spring,2011,Jan,Mon,Weekend/Holiday,Cloudy,117,883,1000
2011-01-18,Spring,2011,Jan,Tue,Working Day,Cloudy,9,674,683
2011-01-19,Spring,2011,Jan,Wed,Working Day,Cloudy,78,1572,1650
2011-01-20,Spring,2011,Jan,Thu,Working Day,Cloudy,83,1844,1927
2011-01-21,Spring,2011,Jan,Fri,Working Day,Clear,75,1468,1543
2011-01-22,Spring,2011,Jan,Sat,Weekend/Holiday,Clear,93,888,981
2011-01-23,Spring,2011,Jan,Sun,Weekend/Holiday,Clear,150,836,986
2011-01-24,Spring,2011,Jan,Mon,Working Day,Clear,86,1330,1416
2011-01-25,Spring,2011,Jan,Tue,Working Day,Cloudy,186,1799,1985
2011-01-26,Spring,2011,Jan,Wed,Working Day,Light Snow/Rain,34,472,506
2011-01-27,Spring,2011,Jan,Thu,Working Day,Clear,15,416,431
2011-01-28,Spring,2011,Jan,Fri,Working Day,Cloudy,38,1129,1167
2011-01-29,Spring,2011,Jan,Sat,Weekend/Holiday,Clear,123,975,1098
2011-01-30,Spring,2011,Jan,Sun,Weekend/Holiday,Clear,140,956,1096
2011-01-31,Spring,2011,Jan,Mon,Working Day,Cloudy,42,1459,1501
2011-02-01,Spring,2011,Feb,Tue,Working Day,Cloudy,47,1313,1360
2011-02-02,Spring,2011,Feb,Wed,Working Day,Cloudy,72,1454,1526
2011-02-03,Spring,2011,Feb,Thu,Working Day,Clear,61,1489,1550
2011-02-04,Spring,2011,Feb,Fri,Working Day,Cloudy,88,1620,1708
2011-02-05,Spring,2011,Feb,Sat,Weekend/Holiday,Cloudy,100,905,1005
2011-02-06,Spring,2011,Feb,Sun,Weekend/Holiday,Clear,354,1269,1623
2011-02-07,Spring,2011,Feb,Mon,Working Day,Clear,120,1592,1712
2011-02-08,Spring,2011,Feb,Tue,Working Day,Clear,64,1466,1530
2011-02-09,Spring,2011,Feb,Wed,Working Day,Cloudy,53,1552,1605
2011-02-10,Spring,2011,Feb,Thu,Working Day,Clear,47,1491,1538
2011-02-11,Spring,2011,Feb,Fri,Working Day,Clear,149,1597,1746
2011-02-12,Spring,2011,Feb,Sat,Weekend/Holiday,Clear,288,1184,1472
2011-02-13,Spring,2011,Feb,Sun,Weekend/Holiday,Clear,397,1192,1589
2011-02-14,Spring,2011,Feb,Mon,Working Day,Clear,208,1705,1913
2011-02-15,Spring,2011,Feb,Tue,Working Day,Clear,140,1675,1815
2011-02-16,Spring,2011,Feb,Wed,Working Day,Clear,218,1897,2115
2011-02-17,Spring,2011,Feb,Thu,Working Day,Clear,259,2216,2475
2011-02-18,Spring,2011,Feb,Fri,Working Day,Clear,579,2348,2927
2011-02-19,Spring,2011,Feb,Sat,Weekend/Holiday,Clear,532,1103,1635
2011-02-20,Spring,2011,Feb,Sun,Weekend/Holiday,Clear,639,1173,1812
2011-02-21,Spring,2011,Feb,Mon,Weekend/Holiday,Cloudy,195,912,1107
2011-02-22,Spring,2011,Feb,Tue,Working Day,Clear,74,1376,1450
2011-02-23,Spring,2011,Feb,Wed,Working Day,Clear,139,1778,1917
2011-02-24,Spring,2011,Feb,Thu,Working Day,Cloudy,100,1707,1807
2011-02-25,Spring,2011,Feb,Fri,Working Day,Cloudy,120,1341,1461
2011-02-26,Spring,2011,Feb,Sat,Weekend/Holiday,Clear,424,1545,1969
2011-02-27,Spring,2011,Feb,Sun,Weekend/Holiday,Clear,694,1708,2402
2011-02-28,Spring,2011,Feb,Mon,Working Day,Cloudy,81,1365,1446
2011-03-01,Spring,2011,Mar,Tue,Working Day,Clear,137,1714,1851
2011-03-02,Spring,2011,Mar,Wed,Working Day,Clear,231,1903,2134
2011-03-03,Spring,2011,Mar,Thu,Working Day,Clear,123,1562,1685
2011-03-04,Spring,2011,Mar,Fri,Working Day,Cloudy,214,1730,1944
2011-03-05,Spring,2011,Mar,Sat,Weekend/Holiday,Cloudy,640,1437,2077
2011-03-06,Spring,2011,Mar,Sun,Weekend/Holiday,Cloudy,114,491,605
2011-03-07,Spring,2011,Mar,Mon,Working Day,Clear,244,1628,1872
2011-03-08,Spring,2011,Mar,Tue,Working Day,Clear,316,1817,2133
2011-03-09,Spring,2011,Mar,Wed,Working Day,Cloudy,191,1700,1891
2011-03-10,Spring,2011,Mar,Thu,Working Day,Light Snow/Rain,46,577,623
2011-03-11,Spring,2011,Mar,Fri,Working Day,Cloudy,247,1730,1977
2011-03-12,Spring,2011,Mar,Sat,Weekend/Holiday,Clear,724,1408,2132
2011-03-13,Spring,2011,Mar,Sun,Weekend/Holiday,Clear,982,1435,2417
2011-03-14,Spring,2011,Mar,Mon,Working Day,Clear,359,1687,2046
2011-03-15,Spring,2011,Mar,Tue,Working Day,Cloudy,289,1767,2056
2011-03-16,Spring,2011,Mar,Wed,Working Day,Cloudy,321,1871,2192
2011-03-17,Spring,2011,Mar,Thu,Working Day,Clear,424,2320,2744
2011-03-18,Spring,2011,Mar,Fri,Working Day,Clear,884,2355,3239
2011-03-19,Spring,2011,Mar,Sat,Weekend/Holiday,Clear,1424,1693,3117
2011-03-20,Spring,2011,Mar,Sun,Weekend/Holiday,Clear,1047,1424,2471
2011-03-21,Summer,2011,Mar,Mon,Working Day,Cloudy,401,1676,2077
2011-03-22,Summer,2011,Mar,Tue,Working Day,Clear,460,2243,2703
2011-03-23,Summer,2011,Mar,Wed,Working Day,Cloudy,203,1918,2121
2011-03-24,Summer,2011,Mar,Thu,Working Day,Cloudy,166,1699,1865
