date,season,year,month,hour,day,workingday,weather,casual,registered,total
2011-01-01,Spring,2011,Jan,0,Sat,Weekend/Holiday,Clear,3,13,16
2011-01-01,Spring,2011,Jan,1,Sat,Weekend/Holiday,Clear,8,32,40
2011-01-01,Spring,2011,Jan,2,Sat,Weekend/Holiday,Clear,5,27,32
2011-01-01,Spring,2011,Jan,3,Sat,Weekend/Holiday,Clear,3,10,13
2011-01-01,Spring,2011,Jan,4,Sat,Weekend/Holiday,Clear,0,1,1
2011-01-01,Spring,2011,Jan,5,Sat,Weekend/Holiday,Cloudy,0,1,1
2011-01-01,Spring,2011,Jan,6,Sat,Weekend/Holiday,Clear,2,0,2
2011-01-01,Spring,2011,Jan,7,Sat,Weekend/Holiday,Clear,1,2,3
2011-01-01,Spring,2011,Jan,8,Sat,Weekend/Holiday,Clear,1,7,8
2011-01-01,Spring,2011,Jan,9,Sat,Weekend/Holiday,Clear,8,6,14
2011-01-01,Spring,2011,Jan,10,Sat,Weekend/Holiday,Clear,12,24,36
2011-01-01,Spring,2011,Jan,11,Sat,Weekend/Holiday,Clear,26,30,56
2011-01-01,Spring,2011,Jan,12,Sat,Weekend/Holiday,Clear,29,55,84
2011-01-01,Spring,2011,Jan,13,Sat,Weekend/Holiday,Cloudy,47,47,94
2011-01-01,Spring,2011,Jan,14,Sat,Weekend/Holiday,Cloudy,35,71,106
2011-01-01,Spring,2011,Jan,15,Sat,Weekend/Holiday,Cloudy,40,70,110
2011-01-01,Spring,2011,Jan,16,Sat,Weekend/Holiday,Cloudy,41,52,93
2011-01-01,Spring,2011,Jan,17,Sat,Weekend/Holiday,Cloudy,15,52,67
2011-01-01,Spring,2011,Jan,18,Sat,Weekend/Holiday,Light Snow/Rain,9,26,35
2011-01-01,Spring,2011,Jan,19,Sat,Weekend/Holiday,Light Snow/Rain,6,31,37
2011-01-01,Spring,2011,Jan,20,Sat,Weekend/Holiday,Cloudy,11,25,36
2011-01-01,Spring,2011,Jan,21,Sat,Weekend/Holiday,Cloudy,3,31,34
2011-01-01,Spring,2011,Jan,22,Sat,Weekend/Holiday,Cloudy,11,17,28
2011-01-01,Spring,2011,Jan,23,Sat,Weekend/Holiday,Cloudy,15,24,39
2011-01-02,Spring,2011,Jan,0,Sun,Weekend/Holiday,Cloudy,4,13,17
2011-01-02,Spring,2011,Jan,1,Sun,Weekend/Holiday,Cloudy,1,16,17
2011-01-02,Spring,2011,Jan,2,Sun,Weekend/Holiday,Cloudy,1,8,9
2011-01-02,Spring,2011,Jan,3,Sun,Weekend/Holiday,Cloudy,2,4,6
2011-01-02,Spring,2011,Jan,4,Sun,Weekend/Holiday,Cloudy,2,1,3
